,Índice FipeZAP,Imóveis residenciais,Imóveis residenciais.1,Imóveis residenciais.2,Imóveis comerciais,Imóveis comerciais.1,Imóveis comerciais.2
0,,Venda,Locação,Rentabilidade do aluguel (rental yield),Venda,Locação,Rentabilidade do aluguel (rental yield)
1,,Número-Índice,Número-Índice,(% - mensalizada),Número-Índice,Número-Índice,(% - mensalizada)
2,Data,Total,Total,Total,Total,Total,Total
101,2016-03-01 00:00:00,129.22328972343445,147.65075881984237,0.0037887387276272226,99.35318399483131,98.18101778820572,0.004636669896367116
102,2016-04-01 00:00:00,129.3168574782364,147.32086778283897,0.0037775846829198093,99.35860869544015,97.05457063549805,0.004564505227018552
103,2016-05-01 00:00:00,129.4023803164424,146.55214117593292,0.003755626464594582,99.46443602736404,96.33806256239468,0.0045021831997655
104,2016-06-01 00:00:00,129.39947411245953,145.42452771195101,0.0037286272103515747,99.54611382362953,95.59416553487915,0.004444579841386158
105,2016-07-01 00:00:00,129.47816063808474,144.44368236978104,0.00370156450209287,99.15423626877411,94.97143618194463,0.004432018910182702
106,2016-08-01 00:00:00,129.5407557809417,143.909221892539,0.0036848127385415187,98.67324105035847,94.00952434174337,0.004405912901448575
107,2016-09-01 00:00:00,129.70236044419255,143.71179796354994,0.003674944226972821,98.07543989809038,92.95319478246869,0.0043861884040544315
108,2016-10-01 00:00:00,129.84298038777698,143.47168306135617,0.0036520630586919464,97.79944967901866,92.42616347811138,0.004364573138445076
109,2016-11-01 00:00:00,129.93232694629341,143.31351905035564,0.0036314856184214697,97.36058791355725,92.10203954758231,0.004361455787469494
110,2016-12-01 00:00:00,130.09965261692696,143.28249273416225,0.0036113104616552695,97.33013817313575,92.08267721484049,0.004361455787469494
111,2017-01-01 00:00:00,130.0941201376725,143.52631648713526,0.0035855497615245595,97.0454346140251,91.7571489721501,0.0043918818488716685
112,2017-02-01 00:00:00,130.2695595270092,143.74244839196572,0.00358670094227144,96.81747065102871,91.57727249410956,0.00439613480405269
113,2017-03-01 00:00:00,130.2187882645415,143.95566682874744,0.003593325830504048,96.1824038523679,91.40448072133493,0.004406146865456907
114,2017-04-01 00:00:00,130.20597252085605,144.08178192573857,0.0035959081119984696,95.72481271914624,91.181031873322,0.004402374442579926
115,2017-05-01 00:00:00,130.00017361678857,144.1306562258533,0.0036030278253464834,95.31710324255194,90.73430060146586,0.004392767382165067
116,2017-06-01 00:00:00,129.80024992771763,143.96291365728487,0.0036050584379322724,95.22145052530023,90.30606955523416,0.00438062589039515
117,2017-07-01 00:00:00,129.60837724961993,143.65427562001358,0.003603795912890758,95.11242314791883,89.69847968087954,0.004364378941398846
118,2017-08-01 00:00:00,129.44945125895092,143.1742766560508,0.0035949649019913605,94.93413891963867,89.2873450732324,0.004356478722068945
119,2017-09-01 00:00:00,129.36479657869074,142.76191851009762,0.0035864285818935754,94.41690847050084,88.90957457857235,0.004368066295803351
120,2017-10-01 00:00:00,129.365646714739,142.36235483332828,0.0035765913457501994,93.78057863638817,88.58093850332978,0.004381884763570079
121,2017-11-01 00:00:00,129.39830118041613,142.15885549502207,0.003572261824662731,93.28306180861776,88.53224595783891,0.004398760174884688
